source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'BBC News'}",,John Simpson: 2025 could be year for the history books as Trump shreds global norms,"Like 1968 or 1989, this could be a year when the world changes in a fundamental way.",https://www.bbc.com/news/articles/cd0ng4eyr3xo,https://ichef.bbci.co.uk/news/1024/branded_news/f433/live/c8c78fc0-f164-11ef-afbd-5d6789bb6e08.jpg,2025-02-23T12:17:49Z,"John Simpson
Just occasionally, there are years when the world goes through some fundamental, convulsive change. 1968, with the Soviet invasion of Czechoslovakia, the Paris riots and the anti-Vietna… [+6822 chars]"
"{'id': None, 'name': 'BBC News'}",,Trump calls Zelensky a 'dictator' as rift between two leaders deepens,The comments come as the latest salvo in a public war of words between the US and Ukrainian leaders.,https://www.bbc.com/news/articles/cjev2j70v19o,https://ichef.bbci.co.uk/news/1024/branded_news/8c48/live/3f40a830-ef0d-11ef-a819-277e390a7a08.png,2025-02-19T20:52:57Z,"Trump arriving in Miami on Air Force One 
President Trump has launched a fresh attack on Ukraine's President Volodymyr Zelensky, calling him a ""dictator"" and deepening the rift between the two leade… [+4518 chars]"
"{'id': None, 'name': 'NPR'}",The Associated Press,"UK, France and Ukraine agree to work on ceasefire plan for Russia's war in Ukraine","Britain, France and Ukraine have agreed to work on a ceasefire plan to present to the U.S., British Prime Minister Keir Starmer said Sunday as he prepared to host a summit of European leaders.",https://www.npr.org/2025/03/02/g-s1-51585/uk-france-ukraine-ceasefire-plan,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/2620x1474+0+137/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fb1%2F77%2F9071b5434155b3ae9690a221916e%2Fap25060691075053.jpg,2025-03-02T11:08:50Z,"LONDON Britain, France and Ukraine have agreed to work on a ceasefire plan to present to the United States, British Prime Minister Keir Starmer said Sunday as he prepared to host a summit of European… [+5773 chars]"
"{'id': None, 'name': 'NPR'}",Joanna Kakissis,Access to Ukraine's rare earths may help keep U.S. aid flowing,"As the Trump administration publicly hammers out its plans on the Ukraine war, it's also pressing Ukraine for deals in exchange for more aid — including giving the U.S. mining rights for rare earths.",https://www.npr.org/2025/02/14/g-s1-49120/ukraine-rare-earths-us-aid,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/7970x4483+0+638/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F4a%2Ff4%2F8a2f791146fbaaa90e8fda30c32a%2Fgettyimages-2198903634.jpg,2025-02-14T22:28:09Z,"KYIV As the Trump administration publicly hammers out its plans on ending Russia's war on Ukraine, it's also pressing Ukraine for deals in exchange for more aid.
One deal in the works would hand the… [+4673 chars]"
"{'id': None, 'name': 'NPR'}",Joanna Kakissis,Zelenskyy hits back against Trump's comments blaming Ukraine for the war with Russia,"Ukraine's President Volodymyr Zelenskyy said he wants the U.S. to stop using disinformation when talking about Russia's war on Ukraine, after President Trump accused Ukraine of starting the war.",https://www.npr.org/2025/02/19/nx-s1-5302023/ukraine-zelenskyy-trump-russia-war,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/4660x2621+0+243/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fa1%2F82%2Fb89aac2b4d6c99f7186b5ecbf6e0%2Fgettyimages-2199840881.jpg,2025-02-19T17:50:52Z,"KYIV Ukraine's President Volodymyr Zelenskyy said Wednesday that he wants the U.S. to stop using disinformation when talking about Russia's war on Ukraine, after President Donald Trump accused Ukrain… [+2002 chars]"
"{'id': None, 'name': 'NPR'}",Greg Myre,"Reversing U.S. policy, Trump attacks Zelenskyy, blames Ukraine for war with Russia","The U.S. has been the strongest supporter of Ukraine in its war with Russia. Yet with a series of blunt comments, President Trump now sounds more aligned with Russia than Ukraine.",https://www.npr.org/2025/02/20/g-s1-49858/reversing-u-s-policy-trump-attacks-zelenskyy-blames-ukraine-for-war-with-russia,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/4604x2590+0+193/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F41%2Fc5%2F47ab061e45879ddd8838120ac757%2Fzelenskyy-trump-2019-gettyimages-1171051394.jpg,2025-02-20T22:08:25Z,"WASHINGTON and KYIV For the past three years, the U.S. has been Ukraine's leading supporter in its war with Russia. Yet with a series of blunt comments, President Trump is now sounding more aligned w… [+5136 chars]"
"{'id': None, 'name': 'BBC News'}",,Chris Mason: Starmer is helping to shape talks but path to peace could be long,"The gathering of European leaders took on greater significance after Trump and Zelenksy's flare up in the Oval Office, political editor Chris Mason writes.",https://www.bbc.com/news/articles/c39vxz87je9o,https://ichef.bbci.co.uk/news/1024/branded_news/cb4f/live/a894af40-f7c1-11ef-b323-d7847687fe0b.jpg,2025-03-03T05:55:45Z,"Russia, watching on, teased that this was an anti-Trump gathering, skilfully picking away at the vulnerability of a divided West.
Sir Keir and others were insistent it was nothing of the sort. The p… [+1466 chars]"
"{'id': None, 'name': 'BBC News'}",,PM pays tribute to British troops after Vance comments,"US vice-president has faced criticism for saying ""20,000 troops from some random country"" will not deter Putin.",https://www.bbc.com/news/articles/cz9nkz928v9o,https://ichef.bbci.co.uk/news/1024/branded_news/e7d8/live/a3581d80-f9c1-11ef-bce9-d39859b1c2ba.jpg,2025-03-05T13:25:02Z,"Becky Morton
Sir Keir Starmer has paid tribute to British veterans who fought in Iraq, after US Vice-President JD Vance was accused of disrespecting UK troops. 
Without directly referring to Vance'… [+3401 chars]"
"{'id': None, 'name': 'BBC News'}",,UK to hike defence spending to 2.5% of GDP by 2027,The prime minister says he will cut the UK's aid budget to fund the rise in defence spending.,https://www.bbc.com/news/articles/clyrkkv4gd7o,https://ichef.bbci.co.uk/news/1024/branded_news/d782/live/48285590-f379-11ef-958e-8b9bf28c4572.jpg,2025-02-25T13:06:39Z,"Prime Minister Sir Keir Starmer has set out plans to increase defence spending to 2.5% of national income by 2027, as peace talks to end the war in Ukraine gather pace.
The PM said he would cut the … [+901 chars]"
"{'id': None, 'name': 'BBC News'}",,Zelensky calls for creation of an 'army of Europe',The Ukrainian president suggests Europe can no longer rely on the US to come to its defence.,https://www.bbc.com/news/articles/cvgl27x74wpo,https://ichef.bbci.co.uk/news/1024/branded_news/3411/live/3a165440-eb8e-11ef-bac1-79259587e103.png,2025-02-15T11:15:40Z,"Ukraine's President Volodymyr Zelensky has called for the creation of an ""army of Europe"" to guard against Russia as he suggested the US may no longer come to the continent's aid.
Speaking at the Mu… [+1174 chars]"
